run_key,tag,evals
main/cec2022_F05_D10/TFO-static/static/0,possession,6693
main/cec2022_F05_D10/TFO-static/static/0,pressing,67468
main/cec2022_F05_D10/TFO-static/static/0,counter_attack,225
main/cec2022_F05_D10/TFO-static/static/0,set_pieces,1066
main/cec2022_F05_D10/TFO-static/static/0,offside,0
main/cec2022_F05_D10/TFO-static/static/0,substitutions,0
main/cec2022_F05_D10/TFO-static/static/0,fatigue,0
main/cec2022_F05_D10/TFO-static/static/0,var_review,0
main/cec2022_F05_D10/TFO-static/static/0,manager,0
main/cec2022_F05_D10/TFO-static/static/0,neutral,0
main/cec2022_F05_D10/TFO/full/1,init,30
main/cec2022_F05_D10/TFO/full/1,sweeper_keeper,0
main/cec2022_F05_D10/TFO/full/1,zonal_centre_back,18976
main/cec2022_F05_D10/TFO/full/1,overlapping_wing_back,18491
main/cec2022_F05_D10/TFO/full/1,deep_lying_playmaker,13973
main/cec2022_F05_D10/TFO/full/1,box_to_box,27856
main/cec2022_F05_D10/TFO/full/1,destroyer,14232
main/cec2022_F05_D10/TFO/full/1,virtuoso,78203
main/cec2022_F05_D10/TFO/full/1,finisher,18571
main/cec2022_F05_D10/TFO/full/1,formation,0
main/cec2022_F05_D10/TFO/full/1,rotation,0
main/cec2022_F05_D10/TFO/full/1,possession,6405
main/cec2022_F05_D10/TFO/full/1,pressing,1993
main/cec2022_F05_D10/TFO/full/1,counter_attack,225
main/cec2022_F05_D10/TFO/full/1,set_pieces,1045
main/cec2022_F05_D10/TFO/full/1,offside,0
main/cec2022_F05_D10/TFO/full/1,substitutions,0
main/cec2022_F05_D10/TFO/full/1,fatigue,0
main/cec2022_F05_D10/TFO/full/1,var_review,0
main/cec2022_F05_D10/TFO/full/1,manager,0
main/cec2022_F05_D10/TFO/full/1,neutral,0
main/cec2022_F05_D10/TFO-static/static/1,init,30
main/cec2022_F05_D10/TFO-static/static/1,sweeper_keeper,0
main/cec2022_F05_D10/TFO-static/static/1,zonal_centre_back,20208
main/cec2022_F05_D10/TFO-static/static/1,overlapping_wing_back,6331
main/cec2022_F05_D10/TFO-static/static/1,deep_lying_playmaker,3613
