schema_version,run_key,experiment,suite,cell_id,function_id,dim,algorithm,variant_id,config_hash,run,seed,budget,evals_used,evals_internal,status,best_f,f_star,error,max_violation,wall_time_s,objective_time_s,n_iterations,n_state_transitions,occ_build_up,occ_control,occ_high_press,occ_chasing,n_counter_attacks,n_substitutions,n_var_rollbacks,n_set_pieces,final_possession_rate
1,main/cec2017_F01_D30/GWO/default/3,main,cec2017,cec2017_F01_D30,F01,30,GWO,default,,3,1678305394,300000,300000,,ok,13883959.311703565,100.0,13883859.311703565,,1.4958185560000175,0.487834958,,,,,,,,,,,
1,main/cec2017_F01_D30/CMA-ES (IPOP)/default/2,main,cec2017,cec2017_F01_D30,F01,30,CMA-ES (IPOP),default,,2,1516071871,300000,300000,,ok,100.00000000000003,100.0,2.842170943040401e-14,,98.51958582499992,0.636092582,,,,,,,,,,,
1,main/cec2017_F01_D30/L-SHADE/default/2,main,cec2017,cec2017_F01_D30,F01,30,L-SHADE,default,,2,1516071871,300000,300000,,ok,100.0,100.0,0.0,,119.31697662299996,9.843730061,,,,,,,,,,,
1,main/cec2017_F01_D30/TFO-static/static/3,main,cec2017,cec2017_F01_D30,F01,30,TFO-static,static,,3,1678305394,300000,300000,300000,ok,541325.3227609323,100.0,541225.3227609323,,51.06416308500002,12.555373235,,,,,,,,,,,
1,main/cec2017_F01_D30/TFO/full/4,main,cec2017,cec2017_F01_D30,F01,30,TFO,full,,4,2031552358,300000,300000,300000,ok,716125.7107525936,100.0,716025.7107525936,,54.92976894399999,13.116854123,,,,,,,,,,,
1,main/cec2017_F01_D30/CMA-ES (IPOP)/default/3,main,cec2017,cec2017_F01_D30,F01,30,CMA-ES (IPOP),default,,3,1678305394,300000,300000,,ok,100.00000000000001,100.0,1.4210854715202004e-14,,74.24133964700002,0.782025575,,,,,,,,,,,
1,main/cec2017_F01_D30/WOA/default/3,main,cec2017,cec2017_F01_D30,F01,30,WOA,default,,3,1678305394,300000,300000,,ok,1403.834015948804,100.0,1303.834015948804,,89.20354092599996,15.364098379,,,,,,,,,,,
1,main/cec2017_F01_D30/GA/default/4,main,cec2017,cec2017_F01_D30,F01,30,GA,default,,4,2031552358,300000,300000,,ok,6781.988558736721,100.0,6681.988558736721,,2.373059116000036,0.405988206,,,,,,,,,,,
1,main/cec2017_F01_D30/PSO/default/4,main,cec2017,cec2017_F01_D30,F01,30,PSO,default,,4,2031552358,300000,300000,,ok,10267977032.599306,100.0,10267976932.599306,,0.8379133900000397,0.359254961,,,,,,,,,,,
1,main/cec2017_F01_D30/GWO/default/4,main,cec2017,cec2017_F01_D30,F01,30,GWO,default,,4,2031552358,300000,300000,,ok,16894659902.732304,100.0,16894659802.732304,,1.0488108549999424,0.343617691,,,,,,,,,,,
1,main/cec2017_F01_D30/CA/default/4,main,cec2017,cec2017_F01_D30,F01,30,CA,default,,4,2031552358,300000,300000,,ok,1598.9579808082162,100.0,1498.9579808082162,,5.982789991000004,0.832069499,,,,,,,,,,,
1,main/cec2017_F01_D30/TFO-static/static/4,main,cec2017,cec2017_F01_D30,F01,30,TFO-static,static,,4,2031552358,300000,300000,300000,ok,1731784.7024505541,100.0,1731684.7024505541,,38.90135760299995,9.294548027,,,,,,,,,,,
1,main/cec2017_F01_D30/L-SHADE/default/3,main,cec2017,cec2017_F01_D30,F01,30,L-SHADE,default,,3,1678305394,300000,300000,,ok,100.0,100.0,0.0,,114.64783863599996,9.597721726,,,,,,,,,,,
1,main/cec2017_F01_D30/WOA/default/4,main,cec2017,cec2017_F01_D30,F01,30,WOA,default,,4,2031552358,300000,300000,,ok,451.50965468246784,100.0,351.50965468246784,,72.682128315,11.661090189,,,,,,,,,,,
1,main/cec2017_F09_D30/TFO/full/0,main,cec2017,cec2017_F09_D30,F09,30,TFO,full,,0,1206433940,300000,300000,300000,ok,1319.3376835154988,900.0,419.33768351549884,,61.274669126999925,19.248606271,,,,,,,,,,,
1,main/cec2017_F01_D30/CMA-ES (IPOP)/default/4,main,cec2017,cec2017_F01_D30,F01,30,CMA-ES (IPOP),default,,4,2031552358,300000,300000,,ok,100.00000000000001,100.0,1.4210854715202004e-14,,77.62339807299998,0.920955986,,,,,,,,,,,
1,main/cec2017_F09_D30/GA/default/0,main,cec2017,cec2017_F09_D30,F09,30,GA,default,,0,1206433940,300000,300000,,ok,1936.6664122633956,900.0,1036.6664122633956,,2.9189368419999937,0.797013273,,,,,,,,,,,
1,main/cec2017_F09_D30/PSO/default/0,main,cec2017,cec2017_F09_D30,F09,30,PSO,default,,0,1206433940,300000,300000,,ok,1187.682038893597,900.0,287.6820388935971,,1.2640219079999042,0.745223998,,,,,,,,,,,
1,main/cec2017_F09_D30/CA/default/0,main,cec2017,cec2017_F09_D30,F09,30,CA,default,,0,1206433940,300000,300000,,ok,1873.9162598819798,900.0,973.9162598819798,,8.37387121300003,1.736009442,,,,,,,,,,,
1,main/cec2017_F09_D30/GWO/default/0,main,cec2017,cec2017_F09_D30,F09,30,GWO,default,,0,1206433940,300000,300000,,ok,4064.58812945376,900.0,3164.58812945376,,1.4467043829999966,0.707301153,,,,,,,,,,,
1,main/cec2017_F01_D30/L-SHADE/default/4,main,cec2017,cec2017_F01_D30,F01,30,L-SHADE,default,,4,2031552358,300000,300000,,ok,100.00000000000001,100.0,1.4210854715202004e-14,,112.35862585500001,9.05953122,,,,,,,,,,,
1,main/cec2017_F09_D30/TFO-static/static/0,main,cec2017,cec2017_F09_D30,F09,30,TFO-static,static,,0,1206433940,300000,300000,300000,ok,920.6975175967111,900.0,20.697517596711123,,50.74952205600016,16.299833722,,,,,,,,,,,
1,main/cec2017_F09_D30/CMA-ES (IPOP)/default/0,main,cec2017,cec2017_F09_D30,F09,30,CMA-ES (IPOP),default,,0,1206433940,300000,300000,,ok,900.0000000000001,900.0,1.1368683772161603e-13,,53.57992252200006,0.865279913,,,,,,,,,,,
1,main/cec2017_F09_D30/WOA/default/0,main,cec2017,cec2017_F09_D30,F09,30,WOA,default,,0,1206433940,300000,300000,,ok,8209.193370018958,900.0,7309.193370018958,,77.95647531100008,17.317259777,,,,,,,,,,,
1,main/cec2017_F09_D30/TFO/full/1,main,cec2017,cec2017_F09_D30,F09,30,TFO,full,,1,1494784989,300000,300000,300000,ok,921.5640345566648,900.0,21.56403455666475,,55.82516568400001,17.529297027,,,,,,,,,,,
1,main/cec2017_F09_D30/GA/default/1,main,cec2017,cec2017_F09_D30,F09,30,GA,default,,1,1494784989,300000,300000,,ok,1234.0453072779733,900.0,334.0453072779733,,2.866105322999829,0.783063279,,,,,,,,,,,
1,main/cec2017_F09_D30/PSO/default/1,main,cec2017,cec2017_F09_D30,F09,30,PSO,default,,1,1494784989,300000,300000,,ok,926.1768490366521,900.0,26.17684903665213,,1.215669059999982,0.716590302,,,,,,,,,,,
1,main/cec2017_F09_D30/GWO/default/1,main,cec2017,cec2017_F09_D30,F09,30,GWO,default,,1,1494784989,300000,300000,,ok,5475.400462564775,900.0,4575.400462564775,,1.454156041000033,0.698915242,,,,,,,,,,,
1,main/cec2017_F09_D30/CA/default/1,main,cec2017,cec2017_F09_D30,F09,30,CA,default,,1,1494784989,300000,300000,,ok,2224.133021252384,900.0,1324.133021252384,,6.3533058040000014,1.309988548,,,,,,,,,,,
1,main/cec2017_F09_D30/TFO-static/static/1,main,cec2017,cec2017_F09_D30,F09,30,TFO-static,static,,1,1494784989,300000,300000,300000,ok,1108.7188116590569,900.0,208.71881165905688,,35.68782937300011,11.614962665,,,,,,,,,,,
